Province,NUTS_ID,Mars 2014,Avril 2014,Mai 2014,Juin 2014,Juillet 2014,Août 2014,Septembre 2014,Octobre 2014,Novembre 2014,Décembre 2014,Janvier 2015,Février 2015,Mars 2015
Province d'Anvers,BE21,158,164,147,165,135,81,200,203,152,211,151,130,222
Province de Brabant flamand,BE24,54,45,29,50,43,28,65,54,43,66,48,66,57
Province de Flandre occidentale,BE25,76,93,70,92,57,51,78,107,76,91,63,59,79
Province de Flandre orientale,BE23,102,88,112,90,52,38,122,84,51,68,81,77,79
Province de Limbourg,BE22,85,55,65,74,47,22,66,80,62,54,55,84,93
Région Bruxelles-Capitale,BE10,209,130,187,213,113,98,293,164,181,284,155,174,265
Province de Brabant wallon,BE31,59,25,33,47,19,20,47,33,32,33,51,37,50
Province de Hainaut,BE32,133,95,98,116,46,68,108,111,78,81,123,77,104
Province de Liège,BE33,116,90,82,99,71,42,112,100,57,95,75,88,124
Province de Luxembourg,BE34,21,11,10,14,7,5,22,17,14,12,11,11,22
Province de Namur,BE35,32,41,30,39,15,21,52,49,39,21,36,42,39
Belgique,BE,1045,837,863,999,605,474,1165,1002,785,1016,849,845,1134
